"id";"bread_name";"price"
1;"Pandesal (AM)";2.0
2;"Pandesal (PM)";2.0
3;"Sliced Bread";37.0
4;"Loaf Bread";15.0
5;"Slice Monay";15.0
6;"Mushroom Bread";3.0
7;"Hard Monay";7.0
8;"Burger (2)";2.0
9;"Burger (5)";5.0
10;"Monay";3.0
11;"Star Monay";3.0
12;"Cheese Bread";4.0
13;"Shell Bread";4.0
14;"Ensaymada (5)";5.0
15;"Ensaymada (4)";4.0
16;"Ube Roll";4.0
17;"Ube Ball";5.0
18;"Ube Slice";3.0
19;"Sliced Mamon";2.0
20;"Sunflower";5.0
21;"Orange Pie";6.0
22;"Cinnamon Roll";5.0
23;"Pandesiosa";16.0
24;"Pandan Roll";4.0
25;"Marble Bread";5.0
26;"Marble Ring";5.0
27;"Choco Bread";5.0
28;"Choco Ball";5.0
29;"Rainbow Bread";3.0
30;"Slice Karne";6.0
31;"Pandecoco";5.0
32;"Pudding";2.0
33;"Hotdog Buns";5.0
34;"Kababayan";5.0
35;"Belgian";10.0
36;"Malunggay Pan";2.0
37;"Torta";10.0
38;"Hopia";5.0
39;"Butter Bread";5.0
40;"Wheat Bread";57.0
41;"Galleta";7.0
42;"Cookies";8.0
43;"Crinkles";23.0
44;"Utap";9.0
45;"Malunggay Utap";10.0
46;"Hawaian";20.0
47;"Panderosa";20.0
48;"Cinnamon Glaze";10.0
49;"Buttercup (Small)";10.0
50;"Buttercup (Big)";65.0
51;"Daricreme (Small)";10.0
52;"Daricreme (Big)";70.0
53;"Nescafe O.";8.0
54;"Creamy White";8.0
55;"Creamy Latte";8.0
56;"Kopiko Black";8.0
57;"Kopiko Brown";8.0
58;"Milo";8.0
59;"Great Taste";8.0
60;"Cafe Blanca";8.0
61;"Best Foods (G)";75.0
62;"Best Foods (R)";63.0
63;"Peanut Butter (LC)";78.0
64;"Peanut Butter (BF)";69.0
65;"Cheez Whiz (R)";93.0
66;"Cheez Whiz (Y)";92.0
67;"Cheez Spread (R)";56.0
68;"Cheez Spread (B)";54.0
69;"Star Big (P)";81.0
70;"Star Big (Y)";80.0
71;"Small (C)";40.0
72;"Small (Y)";39.0
73;"Small (P)";40.0
74;"Small (CL)";40.0
75;"Liverspread (Reno)";28.0
76;"Liverspread (Arg)";25.0
77;"Liverspread (P. Food)";32.0
78;"Liverspread (CDO)";21.0
79;"Eden Spread";78.0
80;"Cups";5.0
81;"Softdrinks (1.75)";65.0
82;"Softdrinks (Mismo)";17.0
83;"Softdrinks (8 oz)";13.0
84;"Softdrinks (Lemonade)";15.0
85;"H2O";15.0
86;"Hot Coffee";12.0
